Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, NoFib, -1,8744.438110351562500000, 7270.968872070312500000,  ,  , 660940, 65.5, 399920
Haskell, NoFib, -1,8738.839782714843750000, 7266.376098632812500000,  ,  , 661363, 67.5, 399920
Haskell, NoFib, -1,8748.695739746093750000, 7277.413696289062500000,  ,  , 660991, 68.5, 399916
Haskell, NoFib, -1,8747.987121582031250000, 7273.864746093750000000,  ,  , 661450, 69.0, 399864
Haskell, NoFib, -1,8746.436828613281250000, 7272.566101074218750000,  ,  , 661220, 66.5, 399864
Haskell, NoFib, -1,8751.901000976562500000, 7280.157775878906250000,  ,  , 660799, 67.5, 399868
Haskell, NoFib, -1,8757.206848144531250000, 7284.493652343750000000,  ,  , 660347, 69.5, 399916
Haskell, NoFib, -1,8749.497558593750000000, 7276.179443359375000000,  ,  , 661146, 68.5, 399880
Haskell, NoFib, -1,8750.505920410156250000, 7276.283996582031250000,  ,  , 661480, 68.0, 399932
Haskell, NoFib, -1,8749.065979003906250000, 7273.963317871093750000,  ,  , 661273, 67.0, 399916
Haskell, NoFib, 5,5683.047058105468750000, 3320.845642089843750000,  ,  , 1.15515E+06, 42.5, 399912
Haskell, NoFib, 5,5699.966430664062500000, 3327.960937500000000000,  ,  , 1.15745E+06, 45.0, 399916
Haskell, NoFib, 5,5688.966064453125000000, 3323.358093261718750000,  ,  , 1.15277E+06, 46.0, 399916
Haskell, NoFib, 5,5690.090942382812500000, 3328.028076171875000000,  ,  , 1.15043E+06, 46.0, 399912
Haskell, NoFib, 5,5690.168518066406250000, 3328.835144042968750000,  ,  , 1.1497E+06, 46.5, 399864
Haskell, NoFib, 5,5668.192626953125000000, 3321.601867675781250000,  ,  , 1.14173E+06, 46.0, 399856
Haskell, NoFib, 5,5664.500854492187500000, 3323.254577636718750000,  ,  , 1.14105E+06, 46.0, 399916
Haskell, NoFib, 5,5660.303649902343750000, 3319.740600585937500000,  ,  , 1.14025E+06, 45.5, 399864
Haskell, NoFib, 5,5668.516540527343750000, 3323.326782226562500000,  ,  , 1.14177E+06, 46.5, 399860
Haskell, NoFib, 5,5673.263488769531250000, 3325.208007812500000000,  ,  , 1.1427E+06, 46.0, 399912
Haskell, NoFib, 5,5677.162536621093750000, 3326.238647460937500000,  ,  , 1.14364E+06, 46.5, 399916
Haskell, NoFib, 5,5662.806884765625000000, 3322.379272460937500000,  ,  , 1.14082E+06, 46.5, 399916
Haskell, NoFib, 5,5664.699401855468750000, 3326.354553222656250000,  ,  , 1.14107E+06, 46.5, 399912
Haskell, NoFib, 5,5660.057983398437500000, 3322.883972167968750000,  ,  , 1.1402E+06, 46.0, 399864
Haskell, NoFib, 5,5660.607482910156250000, 3322.662719726562500000,  ,  , 1.14036E+06, 45.5, 399912
Haskell, NoFib, 5,5662.848693847656250000, 3320.589294433593750000,  ,  , 1.14085E+06, 46.0, 399912
Haskell, NoFib, 5,5661.343017578125000000, 3321.474304199218750000,  ,  , 1.14032E+06, 46.0, 399916
Haskell, NoFib, 5,5663.550109863281250000, 3320.858215332031250000,  ,  , 1.14078E+06, 47.0, 399932
Haskell, NoFib, 5,5676.502807617187500000, 3327.539428710937500000,  ,  , 1.1437E+06, 46.0, 399920
Haskell, NoFib, 5,5662.780822753906250000, 3324.601196289062500000,  ,  , 1.14067E+06, 46.5, 399920
